15
456d;Gryffindor, Godric;123 6th St., Melbourne, FL, 32904,USA;10points2Gryffindor@gmail.com
306a;Grindelwald, Gellert;71 Pilgrim Avenue, Chevey Chase, MD, 20815,USA;the_flash@gmail.com,Lt.Jordan@adventure.com
55bb;Granger, Hermione;70 Bowman St, South Windsor, CT, 06074,USA;starTrek@enterprise.gov
8963;Potter, Lily;1600 Pennslyvania Ave,Ottawa,ON,M5V 2T6,Canada;DrWhoville@yahoo.com
mad12;Hufflepuff, Helga;4 Goldfield Road, Honolulu, HI, 96815,USA;
321nd;Abbot, Hannah;44 Shirley Avenue, West Chicago, IL, 60185,USA;ferrisBueller@dayOff.edu
nf32a;Black, Sirius;514 S. Magnolia Street, Orlando, FL, 32806,USA;brokeKid@avenger.gov
321na;Chang, Cho;1 Westminster Road, Latrobe, PA, 15650, USA;westPhilly@bornAndRaised.com
231f;Riddle, Tom; 494 Creepy Guy Way, Hogwarts, NE, 68504, USA;cyborg@watchtower.com, dprince@metroartmuseum.gov, datsyukfan101@crazy.net
6doc;Brown, Lavender;118 Border Dr., Murfreesboro, TN, 37128, USA;spiderPig@aol.com
321dr;Crouch, Bartemius;8440 Studebaker Drive, Portage, IN, 46368,USA;
1svndr;Moody, Alastor;9596 Country Ave., Kind of Prussia, PA, 19406,USA;whoLikesDrWho@weDo.com
123lst;Dumbledore, Albus;39 Mill Drive, Casselberry, FL, 32707,USA;baseball@mlb.com, football@nfl.edu
nwdo1;Dursley, Vernon;12 Grimmauld Place, UnderTheStairs, NY,10451,USA;computersare@coo.com
2ndbest;Fudge, Cornelius;9045 Arrowhead Street, Rapid City, SD, 57701,USA;nonTrivial@testcases.gov
